Plan_ID,Plan_Name,Provider_Company,URL,Product_Brochure_route,Plan_category,Coverage_Description,pricing,age, customer requirement, price structure, additional informations,Last_Updated
/content/hk-wise/en/products/save/fortune-promise-2.html,Fortune Promise 2,AIA Hong Kong,https://www.aia.com.hk/en/products/save/fortune-promise-2.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/fortune-promise/FortunePromise2_en.pdf,whole life,,"Minimum one-time premium: US$50,000",15 days-70,No medical exam (subject to one-time premium underwriting limit per insured),single premium (one-time lump sum),US$ policy currency; annual and terminal dividends are non-guaranteed; terminal dividend lock-in option from policy year 15,2026-03-02
/content/hk-wise/en/products/save/golden-years-income-plan.html,Golden Years Income Plan,AIA Hong Kong,https://www.aia.com.hk/en/products/save/golden-years-income-plan.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/golden-years-income-plan/GoldenYearsIncomePlan_en.pdf,retirement income,,,15 days-60,no medical exam if total annual premiums within aggregate limit,level premiums; term: 3/5/8/12/18 years (USD) or 12 years (HKD/MOP),participating plan with annual dividends; income period options 10/15 years or to age 110; terminal illness advance payment and unemployment benefit,2022-04-07T16:00:00.000+00:00
/content/hk-wise/en/products/save/spring-income-plan.html,Spring Income Plan,AIA Hong Kong,https://www.aia.com.hk/en/products/save/spring-income-plan.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/spring-income-plan/SpringIncomePlan_en.pdf,savings,,"US$100,000 (one-time premium, illustrative) or US$30,000/year for 3 years (total US$90,000, illustrative).",15 days-80,No medical exam for new applications if annual or one-time premium is within AIA’s aggregate limit per insured,"One-time, 3-year, or 5-year premium term; payment mode: single (one-time only), annual, or monthly",Participating plan with guaranteed annual income plus non-guaranteed annual dividends and terminal dividend,2026-03-02
,AIA Dining Cover 2,AIA International Limited,https://www.aia.com.hk/en/about-aia/campaigns-and-events/recent-promotion/aia_dining_cover_2,https://www.aia.com.hk/content/dam/hk/aia_diningcover2_brochure_en.pdf?v=1,personal accident,Provides protection in case of designated accidents from restaurant reservations booked through OpenRice,HKD 5 per insured for 30-day coverage,14 days-70,Valid HKID/HK birth certificate; insured in Hong Kong at application,Flat premium per insured,"Accidental death HKD10,000 aggregate once per insured across all policies; outpatient up to HKD300 per covered booking (max 1 booking per 7 days); hospital income HKD800/day up to 10 days per booking and 40 days per year","Tue, 24 Feb 2026 17:49:08 GMT"
/content/hk-wise/en/products/general-insurance/comprehensive-personal-liability-insurance-policy-2.html,Comprehensive Personal Liability Insurance Policy 2.0,AIA International Limited,https://www.aia.com.hk/en/products/general-insurance/comprehensive-personal-liability-insurance-policy-2,https://www.aia.com.hk/content/dam/hk/pdf/product-brochure/individuals/comprehensive-personal-labiliy-insurance-policy/CPLIP2.0.pdf,personal liability,"Be at ease with all-round protection for your household contents, personal belongings and liability",HK$88.09/month or HK$999/year (both include levy); monthly requires 3-month initial payment HK$264.26,,Private residential occupancy; insured location in multi-storey building ≤40 years old and 1st level or above (village/town house subject to insurer approval),"Fixed premium with monthly (credit-card autopay) or annual (credit card/cheque) payment; excess varies by section, building age, and water/non-water damage",Worldwide scope excludes USA/Canada and follows Hong Kong jurisdiction; 24-hour household emergency referral service; coverage suspended during renovation,"Tue, 24 Feb 2026 15:24:32 GMT"
/content/hk-wise/en/products/general-insurance/domestic-worker-protector.html,Domestic Worker Protector,AIA International Limited,https://www.aia.com.hk/en/products/general-insurance/domestic-worker-protector,https://www.aia.com.hk/content/dam/hk/pdf/product-brochure/individuals/domestic-worker-protector/DomesticWorkerProtector.pdf,domestic worker insurance,Provide your helper with additional protection so that they can take care of your family without worries,Basic: HK$285.26/year or HK$492.44/2 years; Extra Care: HK$380.36/year; Super Care: HK$680.66/year; optional Cancer & Heart Disease Endorsement (Extra/Super): HK$250.25/year,18-60,Employer policyholder; Extra Care/Super Care only for domestic workers recruited from outside Hong Kong under employment contract,Plan-tier fixed premiums by term (1-year; Basic also 2-year) plus optional endorsement add-on,"14-day waiting period (Sections 3,7,8); HK$200 deductible per claim (Sections 3b,5,6); policy cancellation fee HK$400","Tue, 24 Feb 2026 06:32:05 GMT"
,Executive Golfer,AIA International Limited,https://www.aia.com.hk/en/products/general-insurance/executive-golfer,https://www.aia.com.hk/content/dam/hk/pdf/product-brochure/individuals/executive-golfer/ExecutiveGolfer.pdf,golf insurance,Up to HK$10 million protection with no claim discount,"Annual premium incl. levy: Individual HK$300.3/600.6/800.8; Family HK$510.51/960.96/1,281.28 (Silver/Gold/Diamond).",18-65,Hong Kong resident normally residing in Hong Kong; one plan per insured,Tiered annual premium by Silver/Gold/Diamond and Individual/Family; insurance levy included,Hole-in-one hospitality reimbursement terms apply; HK$500 deductible per third-party property damage claim; professional golfers and North Korea/Vietnam/Laos/Cambodia excluded,"Tue, 24 Feb 2026 14:00:57 GMT"
,Runner Guard,AIA International Limited,https://www.aia.com.hk/en/products/general-insurance/runner-guard,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/runner-guard/RunnerGuard_en.pdf,personal accident,"Injury protection designed especially for runners, with a Running Injury Benefit that covers a range of injuries including tendon rupture and ligament tear",,18-70,"professional/amateur runners in covered runs (>=50 participants, public or AIA-sponsored, distance >=3,000m, altitude <=2,000m, on-site para","single premium (HK$), policy term: 1/3/30/90 days","no savings element; IA levy applies (0.1% of premium, max HK$5,000); if multiple Runner Guard policies for same event, only highest-indemnity policy applies","Tue, 24 Feb 2026 14:04:11 GMT"
/content/hk-wise/en/products/health/on-your-side-insurance-plan-2.html,On Your Side Insurance Plan 2 / On Your Side Insurance Plan 2 – First Gift,AIA International Limited,https://www.aia.com.hk/en/products/health/on-your-side-insurance-plan-2,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/on-your-side-plan-2/OnYourSideInsurancePlan2_en.pdf,critical illness,"Protection totalling up to 1,100% of your Initial Sum Assured, providing multiple critical illness benefit for designated illnesses including cancer, heart attack, stroke, Alzheimer's disease and Parkinson’s disease","US$1,778/year (illustrative, First Gift, SA US$150,000, 25-year term, annual mode); US$4,650/year (illustrative, Plan 2, SA US$100,000, 18-year term, annual mode)",15 days-45,First Gift: expectant mother with gestation period of 22nd week or above,Premium payment term 10/18/25 years; mode annually/semi-annually/quarterly/monthly,Participating plan; guaranteed cash value with non-guaranteed terminal bonus; policy currency US$,"Tue, 24 Feb 2026 08:12:34 GMT"
/content/hk-wise/en/products/health/essence-on-your-side-insurance-plan.html,Essence – On Your Side Insurance Plan,AIA International Limited,https://www.aia.com.hk/en/products/health/essence-on-your-side-insurance-plan,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/essence-on-your-side/EssenceOnYourSideInsurancePlan_en.pdf,critical illness,"Offers essential critical illness protection with additional claim for cancer, heart attack or stroke","US$1,377/year (illustrative: age 25, non-smoker, US$60,000 sum assured, 25-year term, annual mode); US$1,997/year (illustrative: age 37, non-smoker, US$50,000 sum assured, 18-year term, annual mode)",15 days-65,,US$ policy currency; 10/18/25-year premium payment term,participating plan with guaranteed cash value and non-guaranteed terminal bonus; grace period can extend from 31 days to up to 365 days for specified events; One-Stop Oncology Service is value-added and Hong Kong only,"Tue, 24 Feb 2026 07:33:52 GMT"
/content/hk-wise/en/products/health/vhis-select-wise.html,AIA Voluntary Health Insurance SelectWise Scheme,AIA International Limited,https://www.aia.com.hk/en/products/health/vhis-select-wise,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/selectwise/vhis-selectwise_en.pdf,health,Sustainable and affordable protection for you,10% premium discount in first year via AIA Vitality; minimum 10% premium discount each subsequent year (annual membership fee required),15 days-80,semi-private room (Hong Kong) requires SelectWise designated hospital + all attending network doctors + pre-approval; policyholder must be taxpayer for tax deduction,"premium modes: annually/semi-annually/quarterly/monthly; annual deductible options HKD0/8,800/18,000/30,000/55,000 or USD0/1,100/2,250/3,750/6,875",VHIS Flexi Plan (certified); purchasable as basic plan or add-on plan; unknown pre-existing conditions covered from day 31 of the first policy year,"Tue, 24 Feb 2026 13:45:19 GMT"
/content/hk-wise/en/products/health/vhis-privilege-ultra.html,AIA Voluntary Health Insurance Privilege Ultra Scheme,AIA International Limited,https://www.aia.com.hk/en/products/health/vhis-privilege-ultra,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/newmedical/newVHISmedical-en.pdf,health,Higher and wider protection against medical inflation,10% premium discount in first year via AIA Vitality; minimum 10% premium discount each subsequent year (annual membership fee required),15 days-80,standalone or add-on to specified basic plan; policyholder must be taxpayer for VHIS tax deduction,"reimbursement plan; annual deductible HKD0/16,000/25,000/50,000 or USD0/2,000/3,125/6,250",VHIS Flexi certified plan; guaranteed renewal whole life; unknown pre-existing conditions fully covered from day 31 of first policy year,"Tue, 24 Feb 2026 06:01:42 GMT"
/content/hk-wise/en/products/health/optimaceo-medical-plan.html,OptimaCEO Medical Plan / OptimaCEO Medical Plan – First Gift,AIA International Limited,https://www.aia.com.hk/en/products/health/optimaceo-medical-plan,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/optimaceo-medical-plan/optimaceo-medical-plan-en.pdf,health,Revolutionising wellness and medical solutions for a future of health and longevity,10% first-year premium discount via AIA Vitality and minimum 10% each subsequent year; First Gift compassionate refund equals 105% of Total Basic Premiums Paid,15 days-45,"First Gift applicant must be an existing insured under OptimaCEO (annual premium mode), expectant mother at 22+ weeks gestation, and legal m; main plan can be standalone or specified add-on","reimbursement plan; main plan annual deductible HK$0/16,000/25,000/50,000/88,000 (US$0/2,000/3,125/6,250/11,000), premium mode annual/semi-annual/quarterly/mont",main plan renewable yearly for life; First Gift is 1-year non-renewable with newborn cover on birth date to 90 days and option to apply OptimaCEO for newborn via simplified unde,"Tue, 24 Feb 2026 06:48:31 GMT"
/content/hk-wise/en/products/health/aia-assemble.html,AIA Assemble,AIA International Limited,https://www.aia.com.hk/en/products/health/aia-assemble,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/aia-assemble/AIAAssemble_en.pdf,critical illness,Go beyond traditional insurance plans with personalised critical illness protection,"US$1,703/year (illustrative, age 22 non-smoker); US$3,992/year (age 33 non-smoker); US$6,910/year (age 39 non-smoker)",15 days-65,Life Cover and Cancer Cover are compulsory selections at application; optional covers cannot be added or reduced after policy issue,US$ policy currency; premiums calculated separately by selected cover,Benefit term to age 100; optional Multiple Cancer Cover allows up to 5 additional claims (to age 85),"Tue, 24 Feb 2026 07:31:34 GMT"
/content/hk-wise/en/products/health/vhis-flexi.html,AIA Voluntary Health Insurance Flexi Scheme,AIA International Limited,https://www.aia.com.hk/en/products/health/vhis-flexi,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/vhis-flexi/AIAVoluntaryHealthInsuranceFlexiScheme_en.pdf,health,"Enjoy quality medical cover, different plan options, network specialists service and more",10% first-year premium discount for AIA Vitality members (minimum 10% each policy year); no-claim discount 5%-25%,15 days-80,"for tax deduction, policyholder must be taxpayer and insured person must be taxpayer or specified relative",reimbursement plan; basic plan or specified add-on,VHIS certified; guaranteed renewal for life; no annual/lifetime benefit limit,"Tue, 24 Feb 2026 04:25:06 GMT"
/content/hk-wise/en/products/health/pac-select-3.html,PAC Select 3,AIA International Limited,https://www.aia.com.hk/en/products/health/pac-select-3,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/pac-select/PACSelect3_en.pdf,accident protection,Provides you tailored protection against the burden from an accident,rate-based,15 days-60,Attach to a corresponding basic plan; insured must fall within eligible occupation classes,"Rate-table annual premiums by attained age, selected sum assured and optional covers; non-guaranteed and reviewed annually","Benefit term to age 85 (core), 76 (medical reimbursement), 65 (daily hospital); 5% renewal benefit for first 5 policy years (subject to limits); worldwide emergency assistance up to HK$/MOP5,000,000 or US$625,000","Wed, 25 Feb 2026 08:38:37 GMT"
/content/hk-wise/en/products/health/ceo-medical-plan-5-series.html,CEO Medical Plan 5 / CEO Medical Plan (Worldwide) 5,AIA International Limited,https://www.aia.com.hk/en/products/health/ceo-medical-plan-5-series,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/ceo-medical-plan-5/CEO5_en.pdf,health,Provides prime protection to let you enjoy your lifestyle wherever you are in the world,,15 days-70,premium payment required for lifetime renewal (31-day grace period),"recurring premium (annual/semi-annual/quarterly/monthly) with annual deductible options HK$0/16,000/25,000/50,000 or US$0/2,000/3,125/6,250",lifetime guaranteed renewal; standalone or add-on plan; optional outpatient and dental benefits,"Tue, 24 Feb 2026 04:20:17 GMT"
/content/hk-wise/en/products/health/AIAOneAbsolute-Cancer-and-SeriousInfectiousDiseaseProtection.html,AIA One Absolute – Cancer & Serious Infectious Disease Protection,AIA International Limited,https://www.aia.com.hk/en/products/health/AIAOneAbsolute-Cancer-and-SeriousInfectiousDiseaseProtection,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/aia-one-absolute-cancer-and-serious-infectious-disease-protection/AIAOneAbsolute-Cancer&SeriousInfectiousDiseaseProtection_en.pdf,health,"A first-in-market cancer protection that determines your claims based on the severity of your medical journey, while adding support for existing and unknown serious infectious diseases","HK$220/month (illustrative: age 35, non-smoker, HK$1,000,000 sum assured, first policy year, yearly renewal); annual rate table is US$/HK$/MOP 1.52-231.08 per 1,000 sum assured.",15 days-65,Add-on plan must attach to a corresponding basic plan; AIA Vitality discount applicants must be age 18+ and be the insured of an in-force AIA Vitality selected policy,"Per-1,000-sum-assured annual rates by attained age, sex, smoker status and 1-year/5-year renewal; basic-plan payment mode annual/semi-annual/quarterly/monthly",,"Tue, 24 Feb 2026 10:44:11 GMT"
/content/hk-wise/en/products/health/AIAOneAbsolute-FullProtection.html,AIA One Absolute – Full Protection,AIA International Limited,https://www.aia.com.hk/en/products/health/AIAOneAbsolute-FullProtection,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/aia-one-absolute-full-protection/AIAOneAbsolute-FullProtection_en.pdf,health,"A first-in-market future-proof protection plan that determines your claims based on the severity of your medical journey, covering every disease and injury - even new diseases that haven't been discovered yet","Annual premium rate table (per US$/HK$/MOP1,000 Sum Assured): 1.93-306.36; illustrative monthly premiums: HK$310 (age 35, non-smoker, SA HK$1,000,000, 1-year renewal) and HK$320 (age 25, non-smoker, SA HK$2,000,000, first 5 years with 20% discount).",15 days-65,Insured age 15 days-65; available as stand-alone or add-on to specified basic plans,"Premiums are calculated by attained age and rate at application/renewal, varying by age, sex, smoking status, currency and 1-year/5-year ren; payable to age 85 (basic: annual/semi-annual/quarterly/monthly",Not a VHIS certified plan (premiums not tax-deductible); no savings element; guaranteed renewal to age 85,"Tue, 24 Feb 2026 06:39:39 GMT"
/content/hk-wise/en/products/health/cancer-guardian-3.html,Cancer Guardian 3,AIA International Limited,https://www.aia.com.hk/en/products/health/cancer-guardian-3,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/cancer-guardian-3/CancerGuardian3_en.pdf,health,A cancer reimbursement plan that combines innovative benefits – including financial support for cancer screening and experimental drugs – with one-stop personalised value-added services at affordable premiums,"HK$1,954/year (illustrative first-year premium: male non-smoker, age 35, Mega, annual); HK$2,553/year (illustrative first-year premium: female non-smoker, age 32, Mega, annual)",15 days-70,written medical practitioner recommendation/certificate required for medicine and experimental drug claims,first-year premium based on standard rates by attained age and plan level; basic plan payment modes annual/semi-annual/quarterly/monthly,whole-life renewal; basic or add-on plan; plan levels Standard/Plus/Mega,"Wed, 25 Feb 2026 02:06:04 GMT"
